nombre,dia,meanNO2
València - Centre,31,15.05
València - Centre,30,22.29
València - Centre,29,19.42
València - Centre,28,13.04
València - Centre,27,10.17
València - Centre,26,9.12
València - Centre,25,10.75
València - Centre,24,11.71
València - Centre,23,17.17
València - Centre,22,18
València - Centre,21,19.75
València - Centre,20,16.67
València - Centre,19,8.75
València - Centre,18,9.79
València - Centre,17,22
València - Centre,16,19.33
València - Centre,15,16.67
València - Centre,14,25.58
València - Centre,13,22.42
València - Centre,12,11.83
València - Centre,11,19
València - Centre,10,26.29
València - Centre,9,28.17
València - Centre,8,24.08
València - Centre,7,23.14
València - Centre,6,21
València - Centre,5,25.33
València - Centre,4,20.92
València - Centre,3,26.12
València - Centre,2,20.17
València - Centre,1,7.79
